imagesource,ratiodec,imagesqin,ui,rolledpapertaruicost
San Diego,0.12,133,38,0.446
San Diego,0.12,213,48,0.446
San Diego,0.12,306,57,0.479
San Diego,0.12,417,67,0.512
San Diego,0.12,,,0.528
San Diego,0.14,192,38,0.446
San Diego,0.14,300,48,0.446
San Diego,0.14,540,64,0.479
San Diego,0.14,,,0.528
San Diego,0.16,222,43,0.446
San Diego,0.16,345,54,0.446
San Diego,0.16,473,63,0.479
San Diego,0.16,,,0.528
San Diego,0.17,216,42,0.446
San Diego,0.17,294,49,0.446
San Diego,0.17,384,56,0.446
San Diego,0.17,486,63,0.479
San Diego,0.17,,,0.528
San Diego,0.18,784,38,0.446
San Diego,0.18,300,48,0.446
San Diego,0.18,432,57,0.446
San Diego,0.18,588,67,0.479
San Diego,0.18,,,0.528
San Diego,0.2,180,36,0.446
San Diego,0.2,245,42,0.446
San Diego,0.2,320,48,0.446
San Diego,0.2,605,66,0.479
San Diego,0.2,,,0.528
San Diego,0.22,224,39,0.446
San Diego,0.22,350,49,0.446
San Diego,0.22,504,59,0.446
San Diego,0.22,686,68,0.479
San Diego,0.22,,,0.528
San Diego,0.24,264,41,0.446
San Diego,0.24,415,52,0.446
San Diego,0.24,506,57,0.446
San Diego,0.24,650,65,0.479
San Diego,0.24,,,0.528
San Diego,0.25,256,40,0.446
San Diego,0.25,400,50,0.446
San Diego,0.25,576,60,0.446
San Diego,0.25,784,70,0.479
San Diego,0.25,,,0.528
San Diego,0.27,240,38,0.446
San Diego,0.27,375,48,0.446
San Diego,0.27,540,57,0.446
San Diego,0.27,840,71,0.479
San Diego,0.27,,,0.528
San Diego,0.28,255,39,0.446
San Diego,0.28,429,50,0.446
San Diego,0.28,574,58,0.446
San Diego,0.28,767,67,0.479
San Diego,0.28,,,0.528
San Diego,0.29,123,27,0.446
San Diego,0.29,218,36,0.446
San Diego,0.29,492,53,0.446
San Diego,0.29,872,71,0.479
San Diego,0.29,,,0.528
San Diego,0.3,143,29,0.446
San Diego,0.3,304,42,0.446
