imagesource,ratiodec,imagesqin,ui,uicost
Old World,0.83,480,44,0.045
Old World,0.83,1080,66,0.045
Old World,0.83,1470,77,0.045
Old World,0.83,1920,88,0.045
Old World,0.83,,,0.045
Old World,0.84,304,35,0.045
Old World,0.84,525,46,0.045
Old World,0.84,1216,70,0.045
Old World,0.84,1628,81,0.045
Old World,0.84,2193,94,0.045
Old World,0.84,,,0.045
Old World,0.85,383,40,0.045
Old World,0.85,924,61,0.045
Old World,0.85,1639,82,0.045
Old World,0.85,2206,95,0.045
Old World,0.85,,,0.045
Old World,0.86,296,35,0.045
Old World,0.86,495,45,0.045
Old World,0.86,1184,69,0.045
Old World,0.86,1672,82,0.045
Old World,0.86,2340,97,0.045
Old World,0.86,,,0.045
Old World,0.88,255,32,0.045
Old World,0.88,550,47,0.045
Old World,0.88,1238,71,0.045
Old World,0.88,1554,79,0.045
Old World,0.88,2379,98,0.045
Old World,0.88,3497,,0.045
Old World,0.91,248,32,0.045
Old World,0.91,440,42,0.045
Old World,0.91,990,63,0.045
Old World,0.91,1311,73,0.045
Old World,0.91,1760,84,0.045
Old World,0.91,,,0.045
Old World,1,144,24,0.045
Old World,1,256,32,0.045
Old World,1,400,40,0.045
Old World,1,900,60,0.045
Old World,1,1296,72,0.045
Old World,1,1296,80,0.045
Old World,1,,,0.045
